model,accuracy,precision,churn_recall,predicted_churn_count,tn,fp,fn,tp
baseline,0.8312611012433393,0.0,0.0,0,936,0,190,0
logistic_regression,0.8028419182948491,0.45375722543352603,0.8263157894736842,346,747,189,33,157
decision_tree,0.7770870337477798,0.42077922077922075,0.8526315789473684,385,713,223,28,162
random_forest,0.8730017761989343,0.5842293906810035,0.8578947368421053,279,820,116,27,163
