数据类型,缺失数量,缺失比例(%),唯一值数量
int64,0,0.0,5630
int64,0,0.0,2
float64,264,4.69,36
object,0,0.0,3
int64,0,0.0,3
float64,251,4.46,34
object,0,0.0,7
object,0,0.0,2
float64,255,4.53,6
int64,0,0.0,6
object,0,0.0,6
int64,0,0.0,5
object,0,0.0,3
int64,0,0.0,15
int64,0,0.0,2
float64,265,4.71,16
float64,256,4.55,17
float64,258,4.58,16
float64,307,5.45,22
float64,0,0.0,2586
