PreferedOrderCat,用户数,流失率,平均订单数,平均优惠券数,平均返现,用户占比
Mobile Phone,2080,0.27403846153846156,2.1826923076923075,1.3721153846153846,140.19677884615385,0.369449378330373
Fashion,826,0.1549636803874092,3.8656174334140436,2.318401937046005,210.4130508474576,0.1467140319715808
Laptop & Accessory,2050,0.1024390243902439,2.766341463414634,1.6512195121951219,167.21839999999997,0.3641207815275311
Others,264,0.07575757575757576,5.25,2.3257575757575757,304.5559090909091,0.04689165186500888
Grocery,410,0.04878048780487805,4.597560975609756,2.1902439024390246,266.2309756097561,0.07282415630550622
