指标,数值
用户数,5630.0
流失人数,948.0
总体流失率,0.16838365896980462
平均订单数,2.9618117229129663
订单数中位数,2.0
平均优惠券使用次数,1.7168738898756661
平均返现,177.22303019538188
平均App使用时长,2.9346358792184724
平均满意度,3.066785079928952
平均距上次下单天数,4.459325044404974
