TenureGroup,用户数,流失人数,流失率,平均订单数,平均距上次下单天数,平均返现
0-6个月,2150,697,0.3241860465116279,2.496279069767442,3.772093023255814,159.57244186046512
6-12个月,1584,156,0.09848484848484848,2.7474747474747474,4.381944444444445,163.3139393939394
12-24个月,1467,95,0.06475800954328562,3.704839809134288,5.316973415132924,204.91599182004092
24个月以上,429,0,0.0,3.5454545454545454,5.256410256410256,222.3400233100233
